Question,Label
Explain data abstraction.,0
What is data abstraction?,0
Define data abstraction.,0
What is a syntax error,0
Explain syntax error,0
Why syntax error occurs?,0
Explain program documentation. Why is it important?,0
What is meant by program documentation?,0
Why do we need program documentation?,0
What is software testing?,0
How do you explain a data structure?,0
Explain what a binary search tree is.,0
What are dynamic data structures?,0
Can you explain doubly linked list?,0
What is logistic regression?,0
Describe decision tree,0
Explain confusion matrix,0
What is bias in data science?,0
What is dimensionality reduction?,0
What is DBMS?,0
Explain normalization and de-normalization in databases.,0
What is BCNF? How it is different from 3NF?,0
What is a degree of relation in DBMS?,0
Give an explanation on the difference between strong AI and weak AI?,0
Define an expert system in AI?,0
What Are recurrent neural networks?,0
What is the difference between supervised and unsupervised machine learning?,0
What do you understand by the hyperparameter?,0
What are bayesian networks?,0
What is encryption?,0
Explain how encryption works.,0
What are the types of encryption?,0
What is an API?,0
Explain how APIs work.,0
What are the types of APIs?,0
What is cloud computing?,0
Explain the benefits of cloud computing.,0
What are the types of cloud computing models?,0
What is virtual reality?,0
Explain how virtual reality works.,0
What are the applications of virtual reality?,0
What is cybersecurity?,0
Explain the importance of cybersecurity.,0
What are common cybersecurity threats?,0
What is a database?,0
Explain types of databases.,0
What are the benefits of using databases?,0
What is programming?,0
Explain different programming languages.,0
What are the best practices in programming?,0
What is networking?,0
Explain types of networks.,0
What are the advantages of networking?,0
What is data science?,0
Explain the data science process.,0
What are the tools used in data science?,0
What is the internet of things (IoT)?,0
Explain IoT devices.,0
What are the applications of IoT?,0
What is blockchain?,0
Explain how blockchain works.,0
What are the advantages of blockchain?,0
What are neural networks?,0
Explain artificial neural networks.,0
How do neural networks learn?,0
What is natural language processing (NLP)?,0
Explain NLP techniques.,0
What are the applications of NLP?,0
What is big data?,0
Explain the 3Vs of big data.,0
How is big data analyzed?,0
What is DevOps?,0
Explain the principles of DevOps.,0
How does DevOps improve software development?,0
What is virtual reality (VR)?,0
Explain the types of VR systems.,0
What are the applications of VR?,0
What is computer architecture?,0
Explain the Von Neumann architecture.,0
What are the components of a CPU?,0
What is digital logic design?,0
Explain logic gates.,0
What are flip-flops and latches?,0
What is JavaScript?,0
